"events"
"NON TSTM WIND"
"NONE"
"NORTHERN LIGHTS"
"OTHER"
"PATCHY DENSE FOG"
"PATCHY ICE"
"PROLONG COLD"
"PROLONG WARMTH"
"PROLONGED RAIN"
"RAIN"
"RAIN (HEAVY)"
"RAIN DAMAGE"
"RAIN/SNOW"
"RECORD  COLD"
"RECORD COLD"
"RECORD COOL"
"RECORD DRY MONTH"
"RECORD DRYNESS"
"RECORD HEAT"
"RECORD HIGH"
"RECORD LOW RAINFALL"
"RECORD MAY SNOW"
"RECORD PRECIPITATION"
"RECORD RAINFALL"
"RECORD SNOW"
"RECORD SNOWFALL"
"RECORD TEMPERATURE"
"RECORD TEMPERATURES"
"RECORD WARM"
"RECORD WARM TEMPS."
"RECORD WARMTH"
"RECORD WINTER SNOW"
"RED FLAG CRITERIA"
"RED FLAG FIRE WX"
"REMNANTS OF FLOYD"
"RIP CURRENT"
"RIP CURRENTS"
"RIVER FLOOD"
"RIVER FLOODING"
"ROCK SLIDE"
"ROGUE WAVE"
"ROUGH SEAS"
"ROUGH SURF"
"SAHARAN DUST"
"SEASONAL SNOWFALL"
"SEICHE"
"SEVERE THUNDERSTORM"
"SEVERE THUNDERSTORMS"
"SLEET"
"SLEET STORM"
"SLEET/FREEZING RAIN"
"SMALL HAIL"
"SML STREAM FLD"
"SMOKE"
"SNOW"
"SNOW ACCUMULATION"
"SNOW ADVISORY"
"SNOW AND ICE"
"SNOW AND SLEET"
"SNOW DROUGHT"
"SNOW SHOWERS"
"SNOW SQUALL"
"SNOW SQUALLS"
"SNOW/BLOWING SNOW"
"SNOW/FREEZING RAIN"
"SNOW/ICE"
"SNOW/SLEET"
"SNOWMELT FLOODING"
"STORM SURGE"
"STORM SURGE/TIDE"
"STREET FLOODING"
"STRONG WIND"
"STRONG WIND GUST"
"STRONG WINDS"
"SUMMARY AUGUST 10"
"SUMMARY AUGUST 11"
"SUMMARY AUGUST 17"
"SUMMARY AUGUST 2-3"
"SUMMARY AUGUST 21"
"SUMMARY AUGUST 28"
"SUMMARY AUGUST 4"
"SUMMARY AUGUST 7"
"SUMMARY AUGUST 9"
"SUMMARY JAN 17"
"SUMMARY JULY 23-24"
"SUMMARY JUNE 18-19"
"SUMMARY JUNE 5-6"
"SUMMARY JUNE 6"
"SUMMARY OF APRIL 12"
"SUMMARY OF APRIL 13"
"SUMMARY OF APRIL 21"
"SUMMARY OF APRIL 27"
"SUMMARY OF APRIL 3RD"
"SUMMARY OF AUGUST 1"
"SUMMARY OF JULY 11"
"SUMMARY OF JULY 2"
"SUMMARY OF JULY 22"
"SUMMARY OF JULY 26"
"SUMMARY OF JULY 29"
"SUMMARY OF JULY 3"
